Timestamp,Solar_Generation_MW,Wind_Generation_MW,Energy_Demand_MW,Curtailment_Losses_MW,Battery_SOC_%,Battery_Charge_Rate_MW,EV_Charging_Sessions,Temperature_C,Solar_Irradiance_Wm2,Wind_Speed_ms,Cloud_Cover_%
1/1/2024 00:00,65.78649431,35.94293489,118.8532198,9.038079778,20.89579399,6.465177719,11,35.3615615,354.2785505,12.98400502,26.57343051
1/1/2024 01:00,49.64222305,49.4705673,73.27750236,9.63109217,32.91405593,2.275492758,30,7.852246575,399.1565645,2.156888409,98.18021489
1/1/2024 02:00,43.63480847,21.4805197,30.16004758,5.917858575,27.41555439,7.306159123,49,23.11990113,24.23971942,9.937994724,22.92009872
1/1/2024 03:00,37.98005504,34.13450991,60.03047359,4.256577061,51.59790826,7.20892005,53,11.01050664,487.9086396,19.76588942,25.4780857
1/1/2024 04:00,42.0634071,26.81867217,83.7287933,1.849971388,66.11574715,5.770252714,83,35.29862463,509.9048383,15.43036381,58.14363705
1/1/2024 05:00,62.90389066,29.41933541,71.77307922,3.71763922,79.10565495,2.946532746,8,31.75641469,322.7055069,17.41590712,51.18993189
1/1/2024 06:00,67.776697,44.29430257,78.04352468,4.210974385,69.24693618,7.429438037,3,37.07960637,888.5802339,5.072405983,73.11102054
1/1/2024 07:00,41.55875214,32.87063572,65.21676985,2.883946509,67.44164049,1.210453425,28,9.105991517,582.5930198,7.121259078,50.30355324
1/1/2024 08:00,43.36991488,33.11396038,64.24701125,0.204401403,71.54445255,7.145569738,33,26.36932957,309.8514839,5.003143277,91.24681422
1/1/2024 09:00,42.37425371,20.01652093,98.01458874,0.01540588,56.11663682,9.981528435,86,28.25010653,521.5322961,17.70828449,94.87522928
1/1/2024 10:00,45.95951996,30.17587032,68.89230025,1.167704922,42.12709205,7.911544631,76,24.19986677,538.546518,15.37398088,3.416574629
1/1/2024 11:00,58.37995546,34.09624686,47.99537904,2.67327122,47.85230783,8.26945492,73,19.6896848,765.8491086,16.46562624,39.22833496
1/1/2024 12:00,64.26213111,42.5746688,67.73876551,9.274059476,25.5530244,5.789796038,27,2.347478747,721.5422035,10.1031109,36.76819009
1/1/2024 13:00,60.17911546,32.16364827,35.81706274,6.661109858,34.32104947,1.970457612,14,-0.674710755,121.590815,0.072818516,12.90074258
1/1/2024 14:00,44.98636002,31.59011378,95.4468512,7.115448614,71.65609771,2.473624582,57,11.82955439,403.2096124,3.338650899,32.80328265
1/1/2024 15:00,53.28982283,19.43364972,95.61130148,4.104689448,47.37738586,3.865300108,46,13.18168642,5.071262447,3.097178666,12.23512291
1/1/2024 16:00,82.96861871,17.56383245,78.38925904,9.636925827,57.53920835,9.298012446,24,29.67373492,474.6068885,18.18987293,60.38464028
1/1/2024 17:00,34.15563697,37.69447921,105.8691977,4.148197008,49.31340068,8.640233873,39,8.509777433,471.0781947,17.55171733,40.45903375
1/1/2024 18:00,77.73963574,37.42311,64.89551181,5.130947409,68.36556599,1.396374043,30,14.76822894,437.2070061,6.687888843,35.70060417
1/1/2024 19:00,82.94004687,35.02855025,58.44965609,5.906797741,58.384834,4.752565855,49,30.19672492,577.2989805,10.04369886,38.73007746
1/1/2024 20:00,37.58762671,16.03257252,88.77227857,2.959821268,35.20371626,0.701786082,60,-4.829609617,300.9172925,13.86388937,77.13891943
1/1/2024 21:00,35.79273902,25.36332904,72.47556853,2.024299541,49.94632114,1.841631739,43,22.40091216,275.847107,17.51968593,54.04825997
1/1/2024 22:00,34.37184426,21.17804893,77.72365626,3.964425259,57.94564646,6.920234245,85,36.68483598,821.4623907,9.774240363,28.97113636
1/1/2024 23:00,34.55544491,29.32596537,81.28875636,3.669903784,42.70492344,5.76893139,98,25.45421769,446.6779911,3.006281362,17.72013086
1/2/2024 00:00,45.83994553,16.96485772,56.46491021,4.640371178,25.97577565,8.865593668,54,19.05779205,146.3864573,0.618385356,12.76747747
1/2/2024 01:00,63.33880191,25.73619615,108.820478,3.939998472,64.41602321,5.662286944,46,14.40880382,661.0370256,12.02585878,52.20804539
1/2/2024 02:00,46.29606961,24.79734394,57.17722825,6.709956495,26.99916729,4.999810237,95,18.45395968,153.7136702,1.951565302,30.5502613
1/2/2024 03:00,66.67466859,45.86411055,65.11897416,0.89392269,60.04313681,9.988896642,46,36.45941034,810.9396155,19.80538484,61.0724363
1/2/2024 04:00,43.25591224,30.61259146,79.90454653,0.43908964,41.64260052,0.472615101,21,33.82641378,902.5234739,13.64981664,21.02308142
1/2/2024 05:00,58.14473091,22.45414011,85.44199247,0.136353267,59.08675192,3.370976456,4,19.41159642,166.9604966,18.979663,76.90677921
1/2/2024 06:00,65.3331523,26.36818441,71.06123715,3.833771303,59.66610204,3.64151836,27,10.21634471,186.1498278,0.501506057,60.96817651
1/2/2024 07:00,31.94789608,34.26076109,56.66986362,0.85691159,56.38127535,8.524099249,76,7.619125814,558.9363679,18.14052482,68.8541417
1/2/2024 08:00,72.01264774,34.69970585,40.63519672,2.735630195,25.05353767,7.711495441,20,0.146975253,88.0976826,15.49589913,22.08799626
1/2/2024 09:00,44.84869313,37.6359478,92.16630377,7.630501873,37.95279688,8.146116507,76,2.765486333,240.1791035,10.02976823,10.97153448
1/2/2024 10:00,52.75378199,29.56638842,65.59421997,2.414755572,53.35023167,8.356080417,67,18.92824278,187.4814209,3.248049132,5.981290001
1/2/2024 11:00,45.33591152,21.11246289,74.79028029,5.870045518,74.68590774,7.309358586,50,32.01032694,564.1560087,15.21872254,54.24307579
1/2/2024 12:00,63.34346406,25.53534848,52.92325641,5.644659159,44.59902274,7.503433199,55,34.77479908,341.2995413,15.2691442,11.66496299
1/2/2024 13:00,48.06543198,26.48986315,54.73987138,3.889672893,49.92488126,9.050598263,70,23.51025846,318.2478691,13.72855689,63.31366787
1/2/2024 14:00,52.9612292,17.60646402,34.06015441,3.857709234,38.06769484,9.797696328,28,8.444031146,480.8480462,13.54681178,90.40756312
1/2/2024 15:00,28.5540527,51.91123463,78.89541724,6.18383529,61.38516931,8.753405648,92,4.758665294,726.6896581,4.503827626,33.2555074
